Year,SUNY Institution,Sector,All Employees Total ,All Employees Full-Time,All Employees Part-Time,Faculty Total, Faculty Full-Time,Faculty  Part-Time,Professional Employees Non-Faculty  Total,Professional Employees Non-Faculty  Full-Time,Professional Employees Non-Faculty  Part-Time,Other Employees Total,Other Employees Full-Time,Other Employees Part-Time
2020,System Administration,SUNY System,568,526,42,3,0,3,420,408,12,145,118,27
2019,System Administration,SUNY System,575,520,55,3,0,3,407,394,13,165,126,39
2018,System Administration,SUNY System,580,503,77,3,0,3,400,376,24,177,127,50
2017,System Administration,SUNY System,565,497,68,4,0,4,388,367,21,173,130,43
2016,System Administration,SUNY System,560,481,79,4,0,4,381,358,23,175,123,52
2015,System Administration,SUNY System,536,457,79,4,0,4,369,345,24,163,112,51
2014,System Administration,SUNY System,542,462,80,6,0,6,368,346,22,168,116,52
2013,System Administration,SUNY System,568,489,79,5,0,5,390,369,21,173,120,53
2012,System Administration,SUNY System,536,455,81,5,0,5,366,339,27,165,116,49
2011,System Administration,SUNY System,498,421,77,3,0,3,344,321,23,151,100,51
2010,System Administration,SUNY System,499,411,88,3,0,3,342,311,31,154,100,54
2009,System Administration,SUNY System,561,467,94,2,0,2,375,343,32,184,124,60
2008,System Administration,SUNY System,607,488,119,3,0,3,386,353,33,218,135,83
2007,System Administration,SUNY System,655,489,166,3,0,3,387,361,26,265,128,137
2006,System Administration,SUNY System,655,489,166,3,0,3,387,361,26,265,128,137
2005,System Administration,SUNY System,624,496,128,4,1,3,395,357,38,225,138,87
2003,System Administration,SUNY System,560,452,108,1,1,0,367,322,45,192,129,63
2002,System Administration,SUNY System,553,450,103,1,1,0,360,304,56,192,145,47
2001,System Administration,SUNY System,526,441,85,1,1,0,335,297,38,190,143,47
2000,System Administration,SUNY System,479,398,81,1,1,0,278,260,18,200,137,63
2020,Albany,Doctoral Institutions,"3,733","2,282","1,451","1,095",655,440,"1,943",948,995,695,679,16
2019,Albany,Doctoral Institutions,"3,994","2,375","1,619","1,131",675,456,"2,105",977,"1,128",758,723,35
2018,Albany,Doctoral Institutions,"4,004","2,402","1,602","1,148",685,463,"2,102",984,"1,118",754,733,21
2017,Albany,Doctoral Institutions,"4,091","2,385","1,706","1,175",666,509,"2,142",973,"1,169",774,746,28
2016,Albany,Doctoral Institutions,"3,985","2,361","1,624","1,156",670,486,"2,068",957,"1,111",761,734,27
2015,Albany,Doctoral Institutions,"3,924","2,285","1,639","1,106",640,466,"2,024",897,"1,127",794,748,46
2014,Albany,Doctoral Institutions,"3,796","2,226","1,570","1,081",613,468,"1,905",859,"1,046",810,754,56
2013,Albany,Doctoral Institutions,"3,688","2,209","1,479","1,109",617,492,"1,757",834,923,822,758,64
2012,Albany,Doctoral Institutions,"3,606","2,133","1,473","1,104",595,509,"1,679",789,890,823,749,74
